id番号,studentNum,name
18001,2年1組1席,aほげ　ほげお
18002,2年1組2席,a三木 慎太郎
18003,2年1組3席,a嶋村 祐太
18004,2年1組4席,a前川 一夫
18005,2年1組5席,a水原 真樹
18006,2年1組6席,a山辺 新
18007,2年1組7席,a深水 一男
18008,2年1組8席,a金平 信介
18009,2年1組9席,a浜名 賢太
18010,2年1組10席,a八谷 圭輔
18011,2年2組1席,a上別府 佳宏
18012,2年2組2席,a大鳥 卓司
18013,2年2組3席,a嶋貫 健二郎
18014,2年2組4席,a愛知 大志
18015,2年2組5席,a唐川 晋一郎
18016,2年2組6席,a岩澤 章二
18017,2年2組7席,a片貝 一利
18018,2年2組8席,a織戸 隆光
18019,2年2組9席,a吉家 好彦
18020,2年2組10席,a道岡 将希
18021,2年3組1席,a尾沼 堅一
18022,2年3組2席,a澤辺 洋次郎
18023,2年3組3席,a斎川 良光
18024,2年3組4席,a福治 尭
18025,2年3組5席,a青澤 明文
18026,2年3組6席,a智原 靖士
18027,2年3組7席,a中右 光成
18028,2年3組8席,a沖園 成行
18029,2年3組9席,a忰田 智秋
18030,2年3組10席,a君 準
18031,2年4組1席,a松尾 卓也
18032,2年4組2席,a三木 慎太郎
18033,2年4組3席,a嶋村 祐太
18034,2年4組4席,a前川 一夫
18035,2年4組5席,a水原 真樹
18036,2年4組6席,a山辺 新
18037,2年4組7席,a深水 一男
18038,2年4組8席,a金平 信介
